genre_name,decade,film_count,avg_vote_average,avg_roi,median_roi,total_profit,avg_budget
Action,2000s,542,6.28,2.303,1.668,39644889243,51058750.0
Action,2010s,729,6.39,4.714,2.082,90980351446,60348454.0
Action,2020s,299,6.73,2.75,1.303,29882453907,68240506.0
Adventure,2000s,395,6.27,2.581,1.817,44853169094,63740162.0
Adventure,2010s,504,6.54,4.312,2.287,102359632315,82898602.0
Adventure,2020s,212,6.9,2.541,1.474,33325505535,91098828.0
Animation,2000s,132,6.7,3.172,2.046,15488955885,58484583.0
Animation,2010s,192,6.79,4.756,2.753,36953758506,67396986.0
Animation,2020s,92,7.42,4.599,1.766,17172901569,66325315.0
Comedy,2000s,896,6.16,20.576,1.742,41294833269,31193684.0
Comedy,2010s,915,6.34,4.225,2.266,61755218806,29662075.0
Comedy,2020s,314,6.72,49.097,1.155,22254308618,42663946.0
Crime,2000s,425,6.42,2.506,1.442,12524837133,28803143.0
Crime,2010s,395,6.46,4.017,1.459,17282900847,25852371.0
Crime,2020s,136,6.61,2.062,1.012,5868790901,42273483.0
Documentary,2000s,25,7.03,27.292,7.191,956809594,8116256.0
Documentary,2010s,30,7.15,81899.035,3.277,394759571,6646833.0
Documentary,2020s,5,6.34,2.691,0.67,48610618,14480000.0
Drama,2000s,1109,6.64,17.203,1.463,29944818997,23935523.0
Drama,2010s,1307,6.69,4.81,1.436,46044806051,21081182.0
Drama,2020s,413,6.86,37.707,0.855,9748207216,26598400.0
Family,2000s,261,6.33,2.856,2.1,23641872595,54596989.0
Family,2010s,275,6.59,3.297,2.525,45853715760,67322413.0
Family,2020s,115,7.15,3.841,1.822,16828892107,69650730.0
Fantasy,2000s,238,6.33,2.538,1.867,24288791448,55795247.0
Fantasy,2010s,270,6.39,3.008,2.084,39948544299,68964904.0
Fantasy,2020s,148,6.79,3.803,1.1,17243747249,70320425.0
History,2000s,108,6.87,1.704,1.518,2614025030,40443453.0
History,2010s,169,6.94,2.565,1.274,5345367885,28075318.0
History,2020s,73,7.1,1.986,0.71,1493880621,33860608.0
Horror,2000s,267,5.97,53.451,1.877,7257869626,18460461.0
Horror,2010s,330,6.0,9.313,1.897,13992145902,14824670.0
Horror,2020s,214,6.35,5.884,2.031,8060280795,17692154.0
Music,2000s,73,6.52,5.337,1.83,2672501521,23481233.0
Music,2010s,74,6.8,33209.119,2.224,4873906113,26233284.0
Music,2020s,35,6.98,2.098,0.823,1373410069,50586821.0
Mystery,2000s,232,6.25,58.327,1.473,7676657831,28850799.0
Mystery,2010s,200,6.37,5.296,1.566,8002772565,23206448.0
Mystery,2020s,104,6.44,4.168,1.697,5974393771,25854546.0
Romance,2000s,483,6.38,3.459,1.788,20206100765,26583124.0
Romance,2010s,402,6.57,3.456,1.97,18742582484,21119664.0
Romance,2020s,108,6.82,2.268,1.21,3437957161,31819466.0
Science Fiction,2000s,228,6.22,2.501,1.64,18840478794,56995184.0
Science Fiction,2010s,288,6.42,4.267,2.332,53656480579,77253337.0
Science Fiction,2020s,146,6.79,2.359,1.256,20405379736,85410961.0
TV Movie,2000s,2,5.28,0.008,0.008,-16983049,8600000.0
TV Movie,2010s,5,5.97,1.5,0.75,11634700,2856040.0
Thriller,2000s,621,6.29,3.274,1.463,23637453348,33841416.0
Thriller,2010s,708,6.33,4.962,1.455,34799623265,26302338.0
Thriller,2020s,291,6.51,2.435,1.06,8963162780,33406703.0
War,2000s,83,6.8,1.997,1.513,2815593275,47307869.0
War,2010s,98,6.85,2.614,1.246,4562405440,29565543.0
War,2020s,28,7.04,3.085,0.83,1544319118,42763036.0
Western,2000s,28,6.3,1.382,0.689,262181991,31863598.0
Western,2010s,27,6.61,2.065,0.809,1238701473,47446296.0
Western,2020s,12,6.78,0.488,0.358,-146937773,24608333.0
